Date : 2024-12-31 19:44:52
Directory : c:\Users\mcast\Documents\programming\flutter_projects\korazon
Total : 86 files,  14022 codes, 571 comments, 701 blanks, all 15294 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         10 |     10,571 |          0 |         10 |     10,581 |
| Dart       |         29 |      2,057 |        223 |        373 |      2,653 |
| C++        |         16 |        558 |        127 |        188 |        873 |
| XML        |         10 |        480 |         53 |         12 |        545 |
| Gradle     |          3 |         70 |         12 |         15 |         97 |
| Swift      |          6 |         66 |          7 |         20 |         93 |
| Ruby       |          2 |         66 |          3 |         20 |         89 |
| JavaScript |          2 |         47 |         56 |         14 |        117 |
| Markdown   |          2 |         42 |          0 |         29 |         71 |
| YAML       |          3 |         38 |         75 |         13 |        126 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |         86 |     14,022 |        571 |        701 |     15,294 |
| . (Files)                                                                                                                   |          7 |      2,950 |         75 |         43 |      3,068 |
| android                                                                                                                     |         13 |        205 |         63 |         27 |        295 |
| android (Files)                                                                                                             |          3 |         41 |          2 |          9 |         52 |
| android\app                                                                                                                 |          9 |        159 |         61 |         17 |        237 |
| android\app (Files)                                                                                                         |          2 |         86 |         10 |          8 |        104 |
| android\app\src                                                                                                             |          7 |         73 |         51 |          9 |        133 |
| android\app\src\debug                                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                        |          5 |         67 |         43 |          7 |        117 |
| android\app\src\main (Files)                                                                                                |          1 |         41 |         11 |          1 |         53 |
| android\app\src\main\res                                                                                                    |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| functions                                                                                                                   |          4 |      7,443 |         56 |         16 |      7,515 |
| ios                                                                                                                         |          9 |        265 |          6 |         23 |        294 |
| ios (Files)                                                                                                                 |          1 |         33 |          2 |         10 |         45 |
| ios\Runner                                                                                                                  |          7 |        225 |          2 |          9 |        236 |
| ios\Runner (Files)                                                                                                          |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                             |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                  |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                               |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                             |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                       |          2 |         64 |          2 |          2 |         68 |
| lib                                                                                                                         |         28 |      2,043 |        213 |        366 |      2,622 |
| lib (Files)                                                                                                                 |          2 |         93 |         18 |         12 |        123 |
| lib\src                                                                                                                     |         26 |      1,950 |        195 |        354 |      2,499 |
| lib\src\cloudresources                                                                                                      |          4 |        204 |         20 |         47 |        271 |
| lib\src\data                                                                                                                |          3 |        121 |         15 |         20 |        156 |
| lib\src\data\models                                                                                                         |          2 |        102 |          3 |         14 |        119 |
| lib\src\data\providers                                                                                                      |          1 |         19 |         12 |          6 |         37 |
| lib\src\screens                                                                                                             |         13 |      1,244 |         58 |        229 |      1,531 |
| lib\src\utilities                                                                                                           |          2 |         36 |          1 |          6 |         43 |
| lib\src\widgets                                                                                                             |          4 |        345 |        101 |         52 |        498 |
| linux                                                                                                                       |          5 |        106 |         33 |         44 |        183 |
| linux (Files)                                                                                                               |          3 |         94 |         24 |         33 |        151 |
| linux\flutter                                                                                                               |          2 |         12 |          9 |         11 |         32 |
| macos                                                                                                                       |          7 |        491 |          6 |         26 |        523 |
| macos (Files)                                                                                                               |          1 |         33 |          1 |         10 |         44 |
| macos\Flutter                                                                                                               |          1 |         20 |          3 |          4 |         27 |
| macos\Runner                                                                                                                |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                        |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                             |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                     |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                        |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                         |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                                     |         10 |        451 |         94 |        143 |        688 |
| windows\flutter                                                                                                             |          2 |         23 |          9 |         11 |         43 |
| windows\runner                                                                                                              |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\README.md                                                     | Markdown   |         39 |          0 |         27 |         66 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\build.gradle                                      | Gradle     |         32 |         10 |          7 |         49 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\google-services.json                              | JSON       |         54 |          0 |          1 |         55 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
